Month,Sales of shampoo over a three year period
2015-01,266
2015-02,145.9
2015-03,183.1
2015-04,119.3
2015-05,180.3
2015-06,168.5
2015-07,231.8
2015-08,224.5
2015-09,192.8
2015-10,122.9
2015-11,336.5
2015-12,185.9
2016-01,194.3
2016-02,149.5
2016-03,210.1
2016-04,273.3
2016-05,191.4
2016-06,287
2016-07,226
2016-08,303.6
2016-09,289.9
2016-10,421.6
2016-11,264.5
2016-12,342.3
2017-01,339.7
2017-02,440.4
2017-03,315.9
2017-04,439.3
2017-05,401.3
2017-06,437.4
2017-07,575.5
2017-08,407.6
2017-09,682
2017-10,475.3
2017-11,581.3
2017-12,646.9
